claim_id,title,description,url,publication_date,keywords,post_type
1,Was Robert De Niro Involved in a Child Sex Trafficking Ring?,"Robert De Niro linked to a ""prostitution ring that used children.""",https://www.snopes.com/fact-check/was-robert-deniro-child-trafficking-ring/,2018-06-11 00:00:00,"Robert De Niro prostitution ring, Robert De Niro Child Sex Trafficking Ring, Robert De Niro Child Sex Ring, De Niro Child Sex Ring, De Niro Child Sex Abuse ",mostly-false
2,Are Meghan Markle and Prince Harry Robots?,A video shows Meghan Markle and Prince Harry behaving oddly in an 'Britain's Got Talent' audience.,https://www.snopes.com/fact-check/meghan-harry-royal-robots/,2018-06-12 00:00:00,"Meghan Markle and Prince Harry robots, Meghan Markle robot, Prince Harry robot",FALSE
3,Was James Doohan Shot Six Times on D-Day?,"Actor James Doohan, best known for his role as ""Scotty"" from the original Star Trek, was shot six times during D-Day.",https://www.snopes.com/fact-check/james-doohan-d-day/,2018-06-08 00:00:00,"James Doohan was shot, Scotty was shot, Scotty star trek was shot, Scotty star trek 6 times, star trek 6 times shot, star trek dday",mostly-true
4,Did Roseanne Adopt an African Child After a Racism Kerfuffle?,Roseanne Barr adopted a black child from Africa to prove she isn't racist.,https://www.snopes.com/fact-check/did-roseanne-adopt-african-child/,2018-06-07 00:00:00,"Roseanne Barr adopted black, Roseanne Barr black child, Roseanne black child, Roseanne black racist",FALSE
5,Did Michelle Obama Tell ABC to Fire Roseanne Barr?,"Former First Lady Michelle Obama orchestrated the cancellation of ""Roseanne"" and firing of its titular star, Roseanne Barr.",https://www.snopes.com/fact-check/did-michelle-obama-abc-fire-roseanne/,2018-06-01 00:00:00,"Michelle Obama fire Roseanne Barr, Michelle Obama Roseanne Barr, fire Roseanne, fire Roseanne abc Michelle Obama, Roseanne abc Michelle Obama",unproven
6,Did Sarah Sanders Offer Roseanne Barr a White House Job?,Trump's press secretary Sarah Sanders offered Roseanne Barr a White House position.,https://www.snopes.com/fact-check/sarah-sanders-roseanne-barr-job/,2018-05-30 00:00:00,"Sarah Sanders offer Roseanne Barr White House, Roseanne Barr White House, Roseanne White House, Roseanne Sarah Sanders",FALSE
7,Did Singer James Blunt Prevent World War III?,Singer James Blunt once refused to follow orders that could have triggered World War III while serving with the British Army in Kosovo.,https://www.snopes.com/fact-check/singer-james-blunt-prevent-world-war-iii/,2018-05-08 00:00:00,"James Blunt prevent world war, James Blunt World war",mostly-false
8,"Did Netflix Announce a ""God of War"" Series in April 2018?","Netflix announced in April 2018 that they are creating a new series based on the video game ""God of War.""",https://www.snopes.com/fact-check/did-netflix-announce-god-of-war-series/,2018-05-03 00:00:00,"Netflix God of War, Netflix new series God of War",FALSE
9,"Was Trump Labeled ""Best President"" or ""Worst President"" on a ""Time"" Cover?","President Donald Trump was labeled as either the best or the worst president ever on the cover of ""Time"" magazine.",https://www.snopes.com/fact-check/was-trump-best-worst-president-time/,2018-04-25 00:00:00,"Trump time magazine, Trump worst president time magazine, Trump best president time magazine, Trump best president time magazine ",FALSE
10,Did Kawhi Leonard Refuse to Play Because His Coach Made Anti-Trump Comments?,Kawhi Leonard said that he refused to play for the San Antonio Spurs because of coach Gregg Popovich's anti-Trump comments.,https://www.snopes.com/fact-check/did-leonard-refuse-play-anti-trump-comments/,2018-04-19 00:00:00,"Kawhi Leonard coach Trump, Kawhi Leonard Gregg Popovich Trump, Leonard Gregg Popovich Trump, Leonard Popovich Trump, Kawhi Popovich Trump, Kawhi gregg Trump",FALSE
