"id","title","class","topic","date","keywords"
"3","""John McCain was pardoned for treason""
","FALSE
","politics
","2018-08-25","McCain pardoned treason,McCain pardoned traitor,McCain pardoned viet cong"
"4","Did Fired FBI Agent Peter Strzok Tweet That President Trump is a ‘Dictator,’ a ‘Russian Asset,’ and an ‘Unhinged Madman?’
","FALSE
","Junk News
","2018-08-17","Peter Strzok Trump dictator,fbi agent Trump dictator,Strzok trump Russian asset,Strzok trump madman,Strzok trump negative"
"5","Did ‘VeggieTales’ Introduce a New Cannabis Character?
","FALSE
","Junk News
","2018-08-09","VeggieTales cannabis character,VeggieTales cannabis"
"6","Were ‘Winnie-the-Pooh’ Characters Created to Represent Different Mental Disorders?
","FALSE
","Entertainment
","2018-08-18","Pooh mental disorder,Pooh mental illness,pooh mental health,Milne pooh mental"
"7","""Trump: ‘I am sending troops to South Africa and they will not leave until the killing stop and the land issue resolved.’ 
","FALSE
","politics
","2018-08-23","Trump troops South Africa,Trump send troops Africa,Trump intervention South Africa,Trump military South Africa"
"8","Is Colin Kaepernick on the Cover of Time Magazine as the 2018 ‘Person of the Year?’
","FALSE","Fauxtography","2018-08-21","Kaepernick Cover Time Magazine,Kaepernick time magazine 2018,Kaepernick time magazine front,Kaepernick Cover time,Kaepernick person year 2018"
"9","Did Education Secretary Betsy DeVos Register Her Yacht in the Cayman Islands?","Mostly False
","Fauxtography",,"Yacht Cayman Betsy DeVos,Betsy DeVos Yacht,Betsy DeVos Seaquest Cayman"
"10","Is Sheriff Joe Arpaio Taking Over John McCain’s Seat in the Senate?","FALSE","	politics/junk news","2018-08-29","Sheriff Arpaio McCain Senate,Sheriff Arpaio replace McCain,Sheriff Arpaio McCain seat,Sheriff Arpaio McCain appoint,Sheriff Arpaio McCain take,Arpaio McCain senate seat,Arpaio McCain replacement senate"
"11","Did a Scientific Study Prove That “Conspiracists” Are “The Most Sane of All?”","FALSE","	science","2018-10-04","study conspiracy theorists sane"
"12","""John McCain was pardoned for treason""","FALSE","	politics","2018-10-04","McCain pardoned treason,McCain pardoned traitor,McCain pardoned viet cong"
"15","After McCain’s Death, a False Claim Resurfaces","FALSE","	politics","2018-09-29","mccaine killed 134 sailors,mccaine killed 134 men,mccaine killed Forrestal,mccaine accused Forrestal,mccaine responsible Forrestal"
"16","Did Musician Sean Combs Fail to Buy a Twitter Handle from Comb-Seller ‘Sean’s Combs’?","FALSE","	Entertainment","2018-08-30","Diddy twitter handle,Puff Daddy twitter handle,P.Diddy twitter handle,Sean Combs Twitter handle"
"17","Did President Trump Say “Everybody Would Be Very Poor” If He Were Impeached?","TRUE","	politics","2018-09-02","Trump everybody poor impeached"
"18","West Virginia GOP right about job openings, unemployed workers","TRUE","	politics","2018-09-02","more job Americans unemployed,June 6.7 million job"
"19","Was John McCain’s Body Carried to Washington on Air Force Two?","TRUE","	politics","2018-09-04","McCain Air Force Two,McCain AirForce 2,McCain AirForce Two,McCain Air Force 2"
"20","Trump claims Google rigged searches against him but company denies it","","	politics","2018-09-06","trump google fake news,rigged against trump google,Trump News left google,Trump News bad google"
"21","Did the EPA Just Approve Use of Asbestos in the U.S.?","FALSE","	politics","2018-09-06","EPA Asbestos"
"22","Ted Cruz falsely says Beto ORourke said he was grateful for U.S. flag burners","FALSE","	politics","2018-09-06","BETO grateful flag"
"23","Did Michael Jordan Resign from the Board at Nike and Take ‘Air Jordans’ with Him?","FALSE","	sports","2018-09-06","Jordan Resign nike,Jordan left nike,Jordan walked away NIKE"
"24","Did Democrats Demand That Brett Kavanaugh Submit to a DNA Test to Prove He’s Not Actually Hitler?","FALSE","	politics","2018-09-06","Kavanaugh dna hitler,Kavanaugh dna democrats"
"25","Did a New Book Reveal President Trump’s Fear of Oval Office Ghosts?","FALSE","	politics","2018-09-06","trump ghosts fear,Woodward trump ghosts oval"
"26","Did the University of Alabama Cut Ties with Nike Over the Colin Kaepernick Endorsement Deal?","FALSE","	sports","2018-09-06","University Alabama Nike"
"27","Ken Paxton draws on debunked figures, says illegals committed 600,000 crimes in Texas since 2011","FALSE","	politics","2018-09-09","illegals 600,000 crimes Texas,illegals 600,000 Texas 2011,illegal 600,000 Texas 2011,illegal 600,000 crimes Texas,illegal 600000 crimes Texas,illegal 600000 Texas 2011"
"28","Donald Trump wrongly says Social Security and Medicare are stronger","FALSE","	politics","2018-09-09","Social Security stronger trump,medicare stronger trump"
"29","Did a Man Accidentally Burn His Home Down After Lighting Nike Shoes on Fire?","FALSE","	Junk News","2018-09-09","burned home nike,burned house nike"
"30","Did a Man High on Bath Salts Cut Off His Genitals and Microwave Them?","FALSE","	Junk News","2018-09-09","high cut genitals microwaved,high cut dick microwaved"
"31","Was Sasha Obama Expelled from School After Going on an Anti-White Rant?","FALSE","	Junk News","2018-09-09","Sasha Obama expelled white,Sasha Obama expelled rant,Sasha Obama expelled racist"
"32","Did Nike Urge Disgruntled Consumers to Donate Their Unwanted Shoes to Veterans?","FALSE","	politics","2018-09-09","Nike donate veterans"
"33","Girl in Trump Rally Video Not Related to Pelosi","FALSE","	pilitics","2018-09-12","Pelosi granddaughter trump rally,Pelosi granddaughter nose flag"
"34","""Miami Dolphins fire 2 kneeling players before pre-season kickoff.""","FALSE","	sports","2018-09-12","Miami Dolphins fire players,MiamiDolphins fire players,MiamiDolphins fire kneelers,Miami Dolphins fire kneelers"
"35","Says at his confirmation hearing Brett Kavanaugh said birth control methods could be considered ""abortion-inducing drugs.""","FALSE","	politics","2018-09-12","Kavanaugh birth control drugs"
"36","Did Growers in Colorado Crossbreed Marijuana with a Venus Flytrap?","FALSE","	fauxtography","2018-09-12","marijuana Venus flytrap"
"37","Is The Great Pyramid of Giza’s Location Related to the Speed of Light?","FALSE","	science","2018-09-12","Pyramid Giza speed light"
"38","Danny Trejo Death Hoax","FALSE","	Entertainment","2018-09-12","Danny Trejo dead,Danny Trejo died,Danny Trejo pass away,Danny Trejo rip,Danny Trejo dies"
"39","Did Madonna Say She Would Vote for President Trump in 2020?","FALSE","	politics","2018-09-12","madonna vote trump 2020"
"40","Did Nike Fire Colin Kaepernick After an Arrest?","FALSE","	Junk News","2018-09-12","Nike Kaepernick fire arrest"
"41","Did Ford Make Colin Kaepernick the Face of Their New Ad Campaign?","FALSE","	controversy","2018-09-12","Kaepernick Ford Ad Campaign,Kaepernick Ford advertisement,Kaepernick Ford advertising"
"42","Does This Photograph Show Barron Trump Wearing Nike Shoes?","TRUE","	Fauxtography","2018-09-12","Barron Trump Nike,son president wear Nike,trump son wear nike"
"43","Were Immigrant Teenagers Strapped to Chairs with Bags Over Their Heads?","TRUE","	Politics","2018-09-12","Immigrant Teenagers Strapped Chairs,Immigrant children Strapped Chairs,Immigrant children strapped Virginia,Immigrant Teenagers Strapped Virginia"
