@RELATION bad_actors 
 @ATTRIBUTE author_guid string 
 @ATTRIBUTE ClaimFeatureGenerator_claim_type numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_avg_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_max_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_min_num_of_verified numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_friends_followers_ratio numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_favorites numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_followers numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_friends numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_listed_count numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_protected numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_statuses numeric 
 @ATTRIBUTE FootprintFeatureGenerator_std_dev_num_of_verified numeric 
  @DATA 
 0058fb5d-fe58-3af0-bc8d-99b3ffb5780e, False, 2.03753918923752, 1910, 1764, 1130, 37, 0, 20842, 700, 21893, 8954, 7178, 178, 0, 68846, 1, 0, 21, 14, 0, 0, 3796, 0, 2.48500753433565, 5602.98523565968, 2841.69897531856, 1905.45998115833, 56.8153112447405, 0.0, 19330.2196425331, 701 
017a3072-4dd2-33db-946a-78b007273095, True, 1.5833099563683, 12577, 13275, 1432, 88, 0, 20205, 700, 65950, 117631, 10371, 783, 0, 95379, 1, 2, 3, 0, 0, 0, 2, 0, 2.11969476336738, 19148.3672609363, 28446.027006362, 2149.55692851333, 173.828490710889, 0.0, 24083.2414613567, 701 
01fff8f1-2cd9-3e74-8964-ec7949513162, ?, 2.88897256419673, 23298, 5350, 3537, 109, 0, 52640, 700, 362041, 93398, 110136, 1923, 0, 1644951, 1, 0, 0, 1, 0, 0, 53, 0, 4.91544633173382, 57424.6351167337, 15362.8426572168, 15347.2755175503, 327.237433066573, 0.0, 229934.771957611, 701 
0205795f-f32a-3d6c-8672-0502c25afab6, False, 3.22107748596122, 17551, 2387, 2565, 31, 0, 33592, 700, 144728, 18723, 13513, 383, 0, 336614, 0, 0, 2, 3, 0, 0, 7, 0, 5.7393489613301, 31842.5427508683, 3773.34870522402, 3328.87162200304, 65.3237833863003, 0.0, 60413.0254338482, 701 
02d6220a-4ade-36b0-8209-2db71cc26f1d, False, 2.80591752537933, 34104, 947, 1336, 17, 0, 39321, 700, 260754, 5482, 5003, 137, 0, 478251, 0, 0, 27, 0, 0, 0, 450, 0, 3.38324077455747, 73812.8801391729, 1333.21179037861, 1570.98667524166, 30.7100403119846, 0.0, 101283.163897122, 701 
03068d88-6228-351b-96f7-ef8eb4fbd839, False, 2.65148374845089, 30519, 4535, 2975, 36, 0, 45822, 700, 179399, 64437, 14024, 320, 0, 234193, 0, 38, 3, 71, 0, 0, 121, 0, 7.79575801281581, 44079.3284697874, 10028.5490184684, 3219.60194627301, 67.7576603447581, 0.0, 55215.172938767, 701 
042eb1f3-ffe2-3e9e-808b-7c0b7fc7eb83, True, 1.84602265656614, 26943, 5822, 5518, 47, 0, 45255, 700, 164332, 55911, 54186, 611, 0, 557671, 0, 0, 0, 0, 0, 0, 10, 0, 2.72100650805102, 41197.1340106755, 12792.5506545802, 12283.7928040075, 113.044983822136, 0.0, 80260.2813675364, 701 
04e7ac58-4228-3746-8e24-ab738819508f, False, 1.41249807825014, 15317, 8253, 2343, 168, 0, 36938, 700, 50384, 136294, 10738, 3690, 0, 221107, 0, 0, 0, 1, 0, 0, 7, 0, 1.44979255074828, 16466.5679027701, 24465.3265577261, 2474.26259027836, 607.879551530544, 0.0, 46973.8310144912, 701 
04ff14c3-3baf-3956-bf2a-fef530e2df89, False, 3.90858851147918, 8970, 21300, 1366, 20, 0, 6672, 700, 87112, 345010, 8329, 178, 0, 31634, 0, 0, 2, 3, 0, 0, 5, 0, 6.43053099172384, 22450.4135228901, 78675.3316823068, 2270.30046687141, 46.8284563165139, 0.0, 10000.8030024816, 701 
057b52dd-929f-3722-9af9-4a38a71b3773, False, 1.62422392855176, 5824, 11777, 1743, 320, 0, 35756, 700, 82952, 556225, 27682, 13223, 0, 626668, 1, 0, 0, 0, 0, 0, 2, 0, 2.45810457781108, 13262.0999254303, 65447.4721701163, 3724.21829582136, 1558.43702170389, 0.0, 87323.8347949887, 701 
