topic_number,buckets,authors,posts,post_author_ratio
1,0.1,9,10,1.1111111111111112
1,0.2,12,14,1.1666666666666667
1,0.3,5,5,1.0
1,0.4,6,6,1.0
1,0.5,2,2,1.0
1,0.6,1,3,3.0
1,0.7,0,0,-1.0
1,0.8,0,0,-1.0
1,0.9,0,0,-1.0
1,1.0,0,0,-1.0
2,0.1,10,14,1.4
2,0.2,6,6,1.0
2,0.3,11,11,1.0
2,0.4,5,5,1.0
2,0.5,6,6,1.0
2,0.6,3,9,3.0
2,0.7,1,3,3.0
2,0.8,0,0,-1.0
2,0.9,0,0,-1.0
2,1.0,0,0,-1.0
3,0.1,25,26,1.04
3,0.2,17,18,1.0588235294117647
3,0.3,18,20,1.1111111111111112
3,0.4,8,8,1.0
3,0.5,6,9,1.5
3,0.6,1,1,1.0
3,0.7,1,1,1.0
3,0.8,1,1,1.0
3,0.9,2,2,1.0
3,1.0,0,0,-1.0
4,0.1,10,10,1.0
4,0.2,17,20,1.1764705882352942
4,0.3,15,15,1.0
4,0.4,15,16,1.0666666666666667
4,0.5,2,2,1.0
4,0.6,4,5,1.25
4,0.7,2,2,1.0
4,0.8,0,0,-1.0
4,0.9,0,0,-1.0
4,1.0,0,0,-1.0
5,0.1,12,12,1.0
5,0.2,20,20,1.0
5,0.3,19,25,1.3157894736842106
5,0.4,14,18,1.2857142857142858
5,0.5,4,10,2.5
5,0.6,1,2,2.0
5,0.7,0,0,-1.0
5,0.8,0,0,-1.0
5,0.9,0,0,-1.0
5,1.0,0,0,-1.0
6,0.1,11,14,1.2727272727272727
6,0.2,13,14,1.0769230769230769
6,0.3,6,6,1.0
6,0.4,8,8,1.0
6,0.5,5,10,2.0
6,0.6,1,1,1.0
6,0.7,3,3,1.0
6,0.8,0,0,-1.0
6,0.9,2,2,1.0
6,1.0,0,0,-1.0
7,0.1,15,15,1.0
7,0.2,11,11,1.0
7,0.3,5,5,1.0
7,0.4,2,2,1.0
7,0.5,2,2,1.0
7,0.6,0,0,-1.0
7,0.7,3,3,1.0
7,0.8,1,1,1.0
7,0.9,1,1,1.0
7,1.0,0,0,-1.0
8,0.1,10,10,1.0
8,0.2,9,9,1.0
8,0.3,6,6,1.0
8,0.4,5,5,1.0
8,0.5,2,2,1.0
8,0.6,3,3,1.0
8,0.7,2,2,1.0
8,0.8,0,0,-1.0
8,0.9,0,0,-1.0
8,1.0,0,0,-1.0
9,0.1,8,8,1.0
9,0.2,6,6,1.0
